,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp,Timestamp
11,6636,Polkadot,DOT,polkadot-new,485,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain']",,1170521225,1296944895,,12,904869778,5449322278,,2023-03-26T19:04:00.000Z,6.02221713,115115671.7,-3.0405,-0.06919541,1.87349077,-8.59767624,-9.10454825,-2.95837788,33.12929286,7049132973,0.607,7810483766,,2023-03-26T19:04:00.000Z,,,,,,,05:39.6
12,2,Litecoin,LTC,litecoin,892,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange']",84000000,72568676.82,84000000,,13,,,,2023-03-26T19:04:00.000Z,93.35430737,497604289,-9.8964,0.21559217,2.66594199,8.59568195,2.04426989,6.01427466,32.97394067,6774598562,0.5833,7841761819,,2023-03-26T19:04:00.000Z,,,,,,,05:39.6
13,5994,Shiba Inu,SHIB,shiba-inu,495,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,5.89543E+14,5.89609E+14,,14,,,,2023-03-26T19:04:00.000Z,1.06E-05,130170968.8,-11.9455,0.1462157,0.69488127,-4.98907504,-16.38579578,-6.43836804,27.34697576,6234031318,0.5368,6234726189,,2023-03-26T19:04:00.000Z,1027,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,,05:39.6
14,1958,TRON,TRX,tron,743,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem']",,91099007842,91099018138,,15,71659659264,4600611620,,2023-03-26T19:04:00.000Z,0.064200858,210236045.6,-1.1255,0.01889955,0.87998848,-4.64324679,-5.30037427,5.19772105,18.05737563,5848634481,0.5036,5848635142,,2023-03-26T19:04:00.000Z,,,,,,,05:39.6
0,1,Bitcoin,BTC,bitcoin,10105,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'btc-ecosystem']",21000000,19328931,19328931,,1,,,,2023-03-26T19:05:00.000Z,27817.06943,13953390553,-4.8,-0.11011812,1.76450967,-1.89261595,20.35198604,22.50670016,65.28802774,5.37674E+11,46.2952,5.84158E+11,,2023-03-26T19:05:00.000Z,,,,,,,06:40.4
1,1027,Ethereum,ETH,ethereum,6627,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem']",,122373866.2,122373866.2,,2,,,,2023-03-26T19:05:00.000Z,1766.026393,7196736729,3.5778,-0.11240526,2.18818685,-3.47348857,10.58819358,13.56037145,45.40547774,2.16115E+11,18.6086,2.16115E+11,,2023-03-26T19:05:00.000Z,,,,,,,06:40.4
2,825,Tether,USDT,tether,50172,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,79022291663,83091735572,,3,,,,2023-03-26T19:05:00.000Z,1.000774176,22257966543,-6.6207,0.00243155,-0.01180048,-0.20581345,0.06919234,0.06503156,0.0852107,79083468835,6.8093,83156063211,,2023-03-26T19:05:00.000Z,1027,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,,06:40.4
3,1839,BNB,BNB,bnb,1228,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain']",,157889566.6,159979963.6,,4,,,,2023-03-26T19:05:00.000Z,327.6452609,362302996.8,-14.9714,-0.04129481,2.25742184,-3.82965749,8.7263881,8.62706864,35.17183915,51731768251,4.4542,52416676904,,2023-03-26T19:05:00.000Z,,,,,,,06:40.4
4,3408,USD Coin,USDC,usd-coin,11160,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,33892162247,33892162247,,5,,,,2023-03-26T19:05:00.000Z,0.99991736,3491427448,-9.0563,-0.00406049,0.0132432,-0.00965304,-0.0078617,-0.02367656,-0.00954338,33889361383,2.9181,33889361383,,2023-03-26T19:05:00.000Z,1027,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,,06:40.4
5,52,XRP,XRP,xrp,908,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio']",1E+11,50950912949,99989113908,,6,,,,2023-03-26T19:05:00.000Z,0.446707129,1245038838,-27.7087,-0.33417822,-2.26778117,13.02733521,18.62716062,9.47091503,22.51145581,22760136030,1.9597,44670712873,,2023-03-26T19:05:00.000Z,,,,,,,06:40.4
6,2010,Cardano,ADA,cardano,742,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano']",45000000000,34731017778,35608886724,,7,,,,2023-03-26T19:05:00.000Z,0.356131538,224832493.5,2.9273,0.28235768,1.32447027,1.37060746,-2.53484677,-0.73002299,35.98744219,12368810764,1.065,16025919193,,2023-03-26T19:05:00.000Z,,,,,,,06:40.4
7,3890,Polygon,MATIC,polygon,630,2019-04-28T00:00:00.000Z,"['platform', 'enterprise-solutions', 'zero-knowledge-proofs', 'scaling', 'state-channel', 'coinbase-ventures-portfolio', 'layer-2', 'binance-launchpad', 'binance-labs-portfolio', 'polygon-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem']",10000000000,9080469069,10000000000,,8,,,,2023-03-26T19:05:00.000Z,1.095263576,300579033.2,-9.7371,-0.14351309,1.2550422,-9.35105144,-14.20502499,13.62229962,36.52865368,9945507028,0.8564,10952635763,,2023-03-26T19:05:00.000Z,,,,,,,06:40.4
8,74,Dogecoin,DOGE,dogecoin,665,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain']",,1.32671E+11,1.32671E+11,,9,,,,2023-03-26T19:05:00.000Z,0.074443509,249761655.6,-14.0877,-0.11804855,0.83826621,-2.5939136,-7.79558517,-12.07125728,-1.50210459,9876477241,0.8504,9876477241,,2023-03-26T19:05:00.000Z,,,,,,,06:40.4
9,5426,Solana,SOL,solana,444,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio']",,383900471.7,539312704.9,,10,,,,2023-03-26T19:05:00.000Z,20.92882714,241180649.7,-21.1783,0.29279258,2.6895532,-6.41337349,-8.79137363,-11.55576916,87.47934205,8034586611,0.6918,11287182374,,2023-03-26T19:05:00.000Z,,,,,,,06:40.4
10,4687,Binance USD,BUSD,binance-usd,6476,2019-09-20T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'binance-chain', 'harmony-ecosystem', 'moonriver-ecosystem', 'usd-stablecoin', 'optimism-ecosystem']",,8024348811,8024348811,,11,,,,2023-03-26T19:05:00.000Z,0.999813875,2783614899,-4.5111,0.0192593,0.0219118,-0.08604325,-0.03474149,-0.05285974,-0.00216093,8022855279,0.6908,8022855279,,2023-03-26T19:05:00.000Z,1839,BNB,BNB,bnb,BUSD-BD1,,06:40.4
11,6636,Polkadot,DOT,polkadot-new,485,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain']",,1170521225,1296944895,,12,904869778,5448196542,,2023-03-26T19:05:00.000Z,6.020973044,115040543.2,-3.1519,-0.09456461,1.83613093,-8.6493358,-9.13185156,-2.99606924,33.09383744,7047676744,0.6068,7808870255,,2023-03-26T19:05:00.000Z,,,,,,,06:40.4
12,2,Litecoin,LTC,litecoin,892,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange']",84000000,72568676.82,84000000,,13,,,,2023-03-26T19:05:00.000Z,93.33219447,497333247.3,-9.9618,0.18686335,2.63278986,8.53147164,2.01524281,5.97588416,32.94988832,6772993857,0.5832,7839904335,,2023-03-26T19:05:00.000Z,,,,,,,06:40.4
13,5994,Shiba Inu,SHIB,shiba-inu,495,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,5.89543E+14,5.89609E+14,,14,,,,2023-03-26T19:05:00.000Z,1.06E-05,130105234.9,-11.9721,0.12200919,0.67882076,-5.01582116,-16.40862658,-6.46109658,27.33914956,6233166417,0.5367,6233861192,,2023-03-26T19:05:00.000Z,1027,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,,06:40.4
14,1958,TRON,TRX,tron,743,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem']",,91099007842,91099018138,,15,71659659264,4600204632,,2023-03-26T19:05:00.000Z,0.064195179,210155558.6,-1.1687,0.01213474,0.87912024,-4.65824819,-5.30310402,5.1796777,18.04361474,5848117088,0.5035,5848117749,,2023-03-26T19:05:00.000Z,,,,,,,06:40.4
